Team
Burnley
Burnley
Burnley
Crystal Palace
Crystal Palace
Newcastle
Newcastle
Newcastle
Newcastle
Norwich
Norwich
Watford
Watford
Watford
West Ham
West Ham
Bournemouth
Aston Villa
Norwich
Aston Villa
Arsenal
Everton
Newcastle
Newcastle
Aston Villa
Aston Villa
Brighton
Bournemouth
Bournemouth
Burnley
Chelsea
Leicester
Sheffield Utd
Watford
Watford
Wolves
Burnley
Everton
Southampton
Chelsea
Southampton
Man Utd
Aston Villa
Crystal Palace
Leicester
Norwich
Southampton
West Ham
West Ham
Sheffield Utd
Spurs
Watford
West Ham
Brighton
Brighton
Liverpool
Everton
Crystal Palace
Brighton
Wolves
West Ham
West Ham
Burnley
Newcastle
Sheffield Utd
Liverpool
Bournemouth
Burnley
Sheffield Utd
Southampton
Watford
Watford
West Ham
Wolves
Norwich
Watford
Chelsea
Norwich
Burnley
Crystal Palace
Liverpool
Leicester
Newcastle
Wolves
Liverpool
Liverpool
Man City
Man City
Spurs
Man City
Arsenal
Spurs
Man Utd
Man City
Everton
Man Utd
Spurs
Man Utd
Man City
Leicester
Spurs
Arsenal
Everton
Man City
Spurs
Spurs
Chelsea
West Ham
Chelsea
Bournemouth
Chelsea
Man Utd
Arsenal
Crystal Palace
Crystal Palace
West Ham
West Ham
Aston Villa
Everton
Watford
Chelsea
Liverpool
Man Utd
Brighton
Bournemouth
Everton
Leicester
Liverpool
Leicester
Norwich
Southampton
Chelsea
Burnley
Man Utd
West Ham
Leicester
Norwich
West Ham
Liverpool
Bournemouth
Burnley
Aston Villa
Brighton
Liverpool
Man Utd
Newcastle
Brighton
Spurs
Bournemouth
Bournemouth
Aston Villa
Chelsea
Liverpool
Southampton
Spurs
Wolves
Everton
Crystal Palace
Watford
Watford
Aston Villa
Burnley
Burnley
Burnley
Man City
Southampton
Brighton
Aston Villa
Brighton
Burnley
Crystal Palace
Liverpool
Liverpool
Wolves
Newcastle
Spurs
Newcastle
Brighton
Everton
Liverpool
Liverpool
Man Utd
Newcastle
Norwich
Watford
Chelsea
Arsenal
Leicester
Chelsea
Crystal Palace
Crystal Palace
Man City
Sheffield Utd
Southampton
Southampton
Spurs
West Ham
West Ham
Wolves
Everton
Southampton
Chelsea
Aston Villa
Arsenal
Arsenal
Leicester
Leicester
Man City
Man City
Wolves
Brighton
Bournemouth
Chelsea
Everton
Everton
Leicester
Leicester
Newcastle
Norwich
Sheffield Utd
West Ham
Norwich
Sheffield Utd
Bournemouth
Spurs
Wolves
Bournemouth
Burnley
Chelsea
Crystal Palace
Man Utd
Newcastle
Sheffield Utd
Wolves
Sheffield Utd
Newcastle
West Ham
Aston Villa
Brighton
Bournemouth
Man Utd
Man Utd
Norwich
Southampton
Spurs
Spurs
Watford
Watford
Wolves
Everton
Newcastle
Brighton
Burnley
Sheffield Utd
Arsenal
Bournemouth
Man Utd
Newcastle
Norwich
Spurs
Watford
West Ham
Wolves
Sheffield Utd
Newcastle
Arsenal
Arsenal
Norwich
Watford
Spurs
Brighton
Bournemouth
Southampton
West Ham
Burnley
Aston Villa
Liverpool
Norwich
West Ham
Sheffield Utd
Norwich
Crystal Palace
Chelsea
Brighton
Crystal Palace
Newcastle
Liverpool
Everton
Wolves
Watford
Bournemouth
Bournemouth
Wolves
Wolves
Liverpool
Burnley
Crystal Palace
Southampton
Crystal Palace
Sheffield Utd
West Ham
Newcastle
Aston Villa
Norwich
Crystal Palace
Wolves
Chelsea
Aston Villa
Brighton
Aston Villa
Everton
Newcastle
Southampton
Southampton
Spurs
Watford
Wolves
Aston Villa
Aston Villa
West Ham
Bournemouth
Aston Villa
Brighton
Chelsea
Crystal Palace
Crystal Palace
Leicester
Leicester
Leicester
Man Utd
Man Utd
Norwich
Norwich
Southampton
Spurs
Watford
West Ham
West Ham
Newcastle
Sheffield Utd
Arsenal
Arsenal
Arsenal
Leicester
Leicester
Man City
Arsenal
Spurs
Leicester
Man City
Liverpool
Arsenal
Man Utd
Man Utd
Wolves
Chelsea
Bournemouth
Southampton
West Ham
West Ham
Chelsea
Chelsea
Everton
Norwich
Man Utd
Wolves
Everton
Watford
Bournemouth
Burnley
Burnley
Watford
Southampton
West Ham
Watford
Aston Villa
Crystal Palace
Crystal Palace
Leicester
Burnley
Sheffield Utd
Brighton
Sheffield Utd
West Ham
Watford
Newcastle
Aston Villa
Aston Villa
Brighton
Sheffield Utd
Aston Villa
Wolves
Newcastle
Burnley
Norwich
Southampton
Brighton
Norwich
Crystal Palace
Bournemouth
Liverpool
Newcastle
Newcastle
Newcastle
Southampton
Watford
Brighton
Southampton
Watford
Sheffield Utd
Sheffield Utd
Southampton
Spurs
Wolves
Everton
Everton
Crystal Palace
Chelsea
Arsenal
Arsenal
Southampton
Norwich
Sheffield Utd
Arsenal
Bournemouth
Crystal Palace
Man Utd
West Ham
Spurs
Liverpool
Brighton
